id,institution,country,sir_rank,overall,risk,output,multi_affiliation,retracted_output,self_citation,discontinued_journals_output,hyperauthored_output,leadership_impact_gap,hyperprolific_authors,institutional_journal_output,redundant_output,multi_affiliation_w,retracted_output_w,self_citation_w,discontinued_journals_output_w,hyperauthored_output_w,leadership_impact_gap_w,hyperprolific_authors_w,institutional_journal_output_w,redundant_output_w,cluster_raw,mean_overall,profile
13590,Harvard University,USA,4,-0.094,low,158939,0.441,-0.165,-0.255,-0.47800000000000004,0.8650000000000001,-0.6639999999999999,0.509,-0.24600000000000002,-0.33399999999999996,0.441,-0.165,-0.255,-0.47800000000000004,0.8650000000000001,-0.6639999999999999,0.509,-0.24600000000000002,-0.33399999999999996,2,0.05370313757039421,Profile 2
26011,University of Chinese Academy of Sciences,CHN,5,-0.28700000000000003,very low,179815,-0.015,-0.17400000000000002,0.8720000000000001,-0.41600000000000004,-0.373,-1.593,-0.464,-0.268,-0.451,-0.015,-0.17400000000000002,0.8720000000000001,-0.41600000000000004,-0.373,-1.593,-0.464,-0.268,-0.451,1,-0.12721371216800495,Profile 1
1671,Zhejiang University,CHN,6,-0.08,low,133608,-0.066,-0.165,-0.032,-0.202,-0.48000000000000004,-0.962,1.179,0.049,-0.6619999999999999,-0.066,-0.165,-0.032,-0.202,-0.48000000000000004,-0.962,1.179,0.049,-0.6619999999999999,1,-0.12721371216800495,Profile 1
1599,Tsinghua University,CHN,8,0.09,medium,124529,0.224,-0.15500000000000003,0.12400000000000001,-0.41700000000000004,-0.129,-1.055,1.683,0.937,-0.23700000000000002,0.224,-0.15500000000000003,0.12400000000000001,-0.41700000000000004,-0.129,-1.055,1.683,0.937,-0.23700000000000002,1,-0.12721371216800495,Profile 1
1520,Shanghai Jiao Tong University,CHN,10,-0.07100000000000001,low,131177,-0.559,0.061,-0.06899999999999999,-0.187,-0.356,-0.586,1.018,-0.268,-0.401,-0.559,0.061,-0.06899999999999999,-0.187,-0.356,-0.586,1.018,-0.268,-0.401,1,-0.12721371216800495,Profile 1
1489,Peking University,CHN,11,-0.10200000000000001,low,126010,-0.468,-0.127,-0.045,-0.28200000000000003,0.196,-0.602,1.2069999999999999,-0.268,-0.635,-0.468,-0.127,-0.045,-0.28200000000000003,0.196,-0.602,1.2069999999999999,-0.268,-0.635,2,0.05370313757039421,Profile 2
58731,Harvard Medical School,USA,12,-0.165,low,104259,0.001,-0.17400000000000002,-0.496,-0.46900000000000003,0.729,-0.393,0.302,-0.268,-0.29900000000000004,0.001,-0.17400000000000002,-0.496,-0.46900000000000003,0.729,-0.393,0.302,-0.268,-0.29900000000000004,2,0.05370313757039421,Profile 2
15199,Stanford University,USA,18,-0.28,very low,94283,-0.7899999999999999,-0.324,-0.308,-0.5,1.1540000000000001,-0.612,0.06,-0.268,0.113,-0.7899999999999999,-0.324,-0.308,-0.5,1.1540000000000001,-0.612,0.06,-0.268,0.113,2,0.05370313757039421,Profile 2
1385,Huazhong University of Science and Technology,CHN,25,-0.08600000000000001,low,85880,-0.998,-0.137,-0.381,-0.126,-0.524,-0.894,1.397,0.499,-0.399,-0.998,-0.137,-0.381,-0.126,-0.524,-0.894,1.397,0.499,-0.399,1,-0.12721371216800495,Profile 1
8802,University of Oxford,GBR,26,0.064,medium,86844,1.284,0.10800000000000001,-0.48900000000000005,-0.507,1.1640000000000001,-0.494,0.052000000000000005,-0.268,0.344,1.284,0.10800000000000001,-0.48900000000000005,-0.507,1.1640000000000001,-0.494,0.052000000000000005,-0.268,0.344,2,0.05370313757039421,Profile 2
8797,University College London,GBR,30,0.004,medium,90727,1.034,-0.118,-0.48400000000000004,-0.48700000000000004,0.933,0.366,0.344,-0.268,-0.29900000000000004,1.034,-0.118,-0.48400000000000004,-0.48700000000000004,0.933,0.366,0.344,-0.268,-0.29900000000000004,2,0.05370313757039421,Profile 2
1557,Sichuan University,CHN,32,-0.061,low,86563,-0.808,-0.043000000000000003,0.24600000000000002,0.012,-0.604,-1.048,1.4009999999999998,-0.033,-0.719,-0.808,-0.043000000000000003,0.24600000000000002,0.012,-0.604,-1.048,1.4009999999999998,-0.033,-0.719,1,-0.12721371216800495,Profile 1
13668,Johns Hopkins University,USA,33,-0.184,low,87119,-0.7849999999999999,-0.268,-0.396,-0.43900000000000006,0.925,0.42900000000000005,0.636,-0.268,-0.43100000000000005,-0.7849999999999999,-0.268,-0.396,-0.43900000000000006,0.925,0.42900000000000005,0.636,-0.268,-0.43100000000000005,2,0.05370313757039421,Profile 2
1089,University of Toronto,CAN,39,-0.20500000000000002,low,87962,-0.136,-0.184,-0.399,-0.47200000000000003,0.372,0.182,-0.095,-0.268,-0.274,-0.136,-0.184,-0.399,-0.47200000000000003,0.372,0.182,-0.095,-0.268,-0.274,2,0.05370313757039421,Profile 2
1575,Sun Yat-Sen University,CHN,40,-0.20700000000000002,low,86746,-0.504,-0.052000000000000005,-0.389,-0.21300000000000002,-0.15300000000000002,-0.651,0.186,-0.268,-0.617,-0.504,-0.052000000000000005,-0.389,-0.21300000000000002,-0.15300000000000002,-0.651,0.186,-0.268,-0.617,1,-0.12721371216800495,Profile 1
13824,Massachusetts Institute of Technology,USA,41,-0.14600000000000002,low,53994,0.509,-0.306,-0.541,-0.505,1.736,-1.2,0.109,-0.21300000000000002,0.133,0.509,-0.306,-0.541,-0.505,1.736,-1.2,0.109,-0.21300000000000002,0.133,2,0.05370313757039421,Profile 2
1255,Central South University,CHN,42,0.166,medium,80429,-0.516,-0.09899999999999999,0.628,-0.15400000000000003,-0.6599999999999999,-0.8770000000000001,1.498,2.1159999999999997,-0.754,-0.516,-0.09899999999999999,0.628,-0.15400000000000003,-0.6599999999999999,-0.8770000000000001,1.498,2.1159999999999997,-0.754,4,0.6370987654320988,Profile 3
59258,"University of Michigan, Ann Arbor",USA,43,-0.192,low,84123,-0.913,-0.184,-0.36,-0.47100000000000003,0.973,0.35,-0.016,-0.261,0.5700000000000001,-0.913,-0.184,-0.36,-0.47100000000000003,0.973,0.35,-0.016,-0.261,0.5700000000000001,2,0.05370313757039421,Profile 2
15488,University of Washington,USA,45,-0.32,very low,74360,-0.741,-0.315,-0.61,-0.468,1.091,-0.361,-0.269,-0.265,-0.202,-0.741,-0.315,-0.61,-0.468,1.091,-0.361,-0.269,-0.265,-0.202,2,0.05370313757039421,Profile 2
1312,Fudan University,CHN,46,-0.14800000000000002,low,83225,-0.28900000000000003,-0.268,-0.403,-0.137,0.13,-0.621,0.916,-0.268,-0.617,-0.28900000000000003,-0.268,-0.403,-0.137,0.13,-0.621,0.916,-0.268,-0.617,1,-0.12721371216800495,Profile 1
15439,University of Pennsylvania,USA,52,-0.24000000000000002,low,70450,-1.044,-0.259,-0.655,-0.453,1.1260000000000001,-0.113,0.079,-0.12200000000000001,0.374,-1.044,-0.259,-0.655,-0.453,1.1260000000000001,-0.113,0.079,-0.12200000000000001,0.374,2,0.05370313757039421,Profile 2
1349,Harbin Institute of Technology,CHN,56,-0.09,low,70954,-0.056,-0.14600000000000002,0.549,-0.33099999999999996,-1.046,-1.324,1.671,-0.268,-0.47300000000000003,-0.056,-0.14600000000000002,0.549,-0.33099999999999996,-1.046,-1.324,1.671,-0.268,-0.47300000000000003,1,-0.12721371216800495,Profile 1
