supplementary_table,section,section_row,Characteristic,Value,IRIS structural risk category,"Institutions, n",Institutions (%),Mean IRIS Overall score,Median IRIS Overall score,Median scientific output,Check,title,description,notes
S1,Panel A - Global,1,"Institutions, n",5475,,,,,,,,"Supplementary Table S1. Overall characteristics of the institutional dataset, IRIS structural risk categories, and category-boundary check.",Panels A and B summarize the institutional dataset and SCImago-supplied structural risk categories. Panel C documents the observed medium/significant boundary and an independent Tukey-fence comparison.,"IRIS Overall score and structural risk category are reported as supplied by SCImago IRIS. | 'Significant' is a SCImago structural risk category and is not defined by the Tukey rule. | The Tukey calculation is an independent descriptive reproducibility check only. | Percentages use all 5,475 institutions as the denominator. | Scientific output is the institutional output variable supplied by SCImago IRIS."
S1,Panel A - Global,2,"Unique institutions, n",5475,,,,,,,,,,
S1,Panel A - Global,3,"Countries or territories, n",151,,,,,,,,,,
S1,Panel A - Global,4,Mean IRIS Overall score,0.131373698630137,,,,,,,,,,
S1,Panel A - Global,5,SD IRIS Overall score,0.868339575752784,,,,,,,,,,
S1,Panel A - Global,6,Median IRIS Overall score,-0.067,,,,,,,,,,
S1,Panel A - Global,7,IQR IRIS Overall score,0.547,,,,,,,,,,
S1,Panel A - Global,8,Minimum IRIS Overall score,-0.818,,,,,,,,,,
S1,Panel A - Global,9,Maximum IRIS Overall score,37.599,,,,,,,,,,
S1,Panel A - Global,10,Mean scientific output,5654.42392694064,,,,,,,,,,
S1,Panel A - Global,11,SD scientific output,10918.6607406576,,,,,,,,,,
S1,Panel A - Global,12,Median scientific output,1930,,,,,,,,,,
S1,Panel A - Global,13,IQR scientific output,4328.5,,,,,,,,,,
S1,Panel A - Global,14,Minimum scientific output,125,,,,,,,,,,
S1,Panel A - Global,15,Maximum scientific output,179815,,,,,,,,,,
S1,Panel B - IRIS categories,1,,,Very Low,1369,25.0045662100457,-0.396699780861943,-0.379,1475,,"Supplementary Table S1. Overall characteristics of the institutional dataset, IRIS structural risk categories, and category-boundary check.",Panels A and B summarize the institutional dataset and SCImago-supplied structural risk categories. Panel C documents the observed medium/significant boundary and an independent Tukey-fence comparison.,"IRIS Overall score and structural risk category are reported as supplied by SCImago IRIS. | 'Significant' is a SCImago structural risk category and is not defined by the Tukey rule. | The Tukey calculation is an independent descriptive reproducibility check only. | Percentages use all 5,475 institutions as the denominator. | Scientific output is the institutional output variable supplied by SCImago IRIS."
S1,Panel B - IRIS categories,2,,,Low,1730,31.5981735159817,-0.141430057803468,-0.1465,3393,,,,
S1,Panel B - IRIS categories,3,,,Medium,2011,36.7305936073059,0.359820487319741,0.283,1768,,,,
S1,Panel B - IRIS categories,4,,,Significant,365,6.66666666666667,2.14637808219178,1.647,1105,,,,
S1,Panel C - Category boundary and Tukey check,1,,1.093,,,,,,,Maximum Overall among SCImago medium-category institutions,"Supplementary Table S1. Overall characteristics of the institutional dataset, IRIS structural risk categories, and category-boundary check.",Panels A and B summarize the institutional dataset and SCImago-supplied structural risk categories. Panel C documents the observed medium/significant boundary and an independent Tukey-fence comparison.,"IRIS Overall score and structural risk category are reported as supplied by SCImago IRIS. | 'Significant' is a SCImago structural risk category and is not defined by the Tukey rule. | The Tukey calculation is an independent descriptive reproducibility check only. | Percentages use all 5,475 institutions as the denominator. | Scientific output is the institutional output variable supplied by SCImago IRIS."
S1,Panel C - Category boundary and Tukey check,2,,1.099,,,,,,,Minimum Overall among SCImago significant-category institutions,,,
S1,Panel C - Category boundary and Tukey check,3,,-0.261,,,,,,,Overall Q1,,,
S1,Panel C - Category boundary and Tukey check,4,,0.286,,,,,,,Overall Q3,,,
S1,Panel C - Category boundary and Tukey check,5,,0.547,,,,,,,Overall IQR,,,
S1,Panel C - Category boundary and Tukey check,6,,1.1065,,,,,,,Independent Tukey upper fence (Q3 + 1.5*IQR),,,
S1,Panel C - Category boundary and Tukey check,7,,7,,,,,,,"SCImago/Tukey classification mismatches, n",,,
