supplementary_table,section,section_row,Principal component,Eigenvalue,Variance explained,Cumulative variance,Indicator variable,Indicator,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,title,description,notes
S3,Variance explained,1,PC1,1.9702981062755371,0.21892201180839296,0.21892201180839296,,,,,,,,,,,,Supplementary Table S3. Principal component analysis of the nine SCImago IRIS indicators.,"Variance explained, cumulative variance, eigenvalues, and indicator loadings for the nine principal components derived from winsorized and standardized IRIS indicators.","1. The analysis included 5,470 institutions with complete information across the nine IRIS indicators. | 2. Indicators were winsorized at the 1st and 99th percentiles and standardized before PCA. | 3. Component signs are conventional; interpretation depends on the relative direction and magnitude of loadings."
S3,Variance explained,2,PC2,1.3426712708925579,0.14918569676583973,0.3681077085742327,,,,,,,,,,,,,,
S3,Variance explained,3,PC3,1.1474170049960168,0.12749077833289074,0.49559848690712344,,,,,,,,,,,,,,
S3,Variance explained,4,PC4,1.1169372384812812,0.12410413760903122,0.6197026245161547,,,,,,,,,,,,,,
S3,Variance explained,5,PC5,0.994114785015867,0.11045719833509632,0.7301598228512509,,,,,,,,,,,,,,
S3,Variance explained,6,PC6,0.8455928348613821,0.09395475942904244,0.8241145822802934,,,,,,,,,,,,,,
S3,Variance explained,7,PC7,0.7112631349751489,0.07902923721946098,0.9031438194997544,,,,,,,,,,,,,,
S3,Variance explained,8,PC8,0.4957302522432325,0.055081139138136934,0.9582249586378914,,,,,,,,,,,,,,
S3,Variance explained,9,PC9,0.3759753722589775,0.0417750413621086,0.9999999999999999,,,,,,,,,,,,,,
S3,PCA loadings,1,,,,,multi_affiliation,Multi-affiliation,0.16985059255436555,0.14275853652982093,-0.6041117709600651,0.11089097997432518,0.05731640645693214,-0.7485031764024672,-0.07903774522121418,0.06108208980949815,-0.0016651743912007699,Supplementary Table S3. Principal component analysis of the nine SCImago IRIS indicators.,"Variance explained, cumulative variance, eigenvalues, and indicator loadings for the nine principal components derived from winsorized and standardized IRIS indicators.","1. The analysis included 5,470 institutions with complete information across the nine IRIS indicators. | 2. Indicators were winsorized at the 1st and 99th percentiles and standardized before PCA. | 3. Component signs are conventional; interpretation depends on the relative direction and magnitude of loadings."
S3,PCA loadings,2,,,,,retracted_output,Retracted output,-0.15928904388637388,-0.026834308465691903,-0.07915817015622839,0.7711114052984994,0.22671845317695938,0.2214599514584416,-0.4817696029993117,0.2008346375791509,0.012076256308633206,,,
S3,PCA loadings,3,,,,,self_citation,Self-citation,-0.4808396684629142,0.4375340371193638,-0.04208843723808954,-0.22216488385526545,0.010774087537095973,0.019297098594281886,0.0031819601094061345,0.5181969612652589,-0.5071507003996314,,,
S3,PCA loadings,4,,,,,discontinued_journals_output,Discontinued journals output,-0.4365041426455155,0.035952369406914333,0.1823346941474865,0.39397364931123224,-0.0056047581221947695,-0.24638527825254802,0.6669137626035817,0.0758193555636778,0.3293185744298555,,,
S3,PCA loadings,5,,,,,hyperauthored_output,Hyperauthored output,0.45715826967725914,0.47405343172595854,0.18277862264848804,-0.01664488260800545,-0.14341844465720002,0.07813345408687876,-0.03972054553436524,0.512797841409459,0.4913059622201198,,,
S3,PCA loadings,6,,,,,leadership_impact_gap,Leadership impact gap,0.37802085713678113,0.19856637079515918,0.5480379681003091,0.329864279731394,-0.049254506615915405,-0.29182674159446703,0.06847010942690974,-0.14992683931323927,-0.5419967747815232,,,
S3,PCA loadings,7,,,,,hyperprolific_authors,Hyperprolific authors,0.11992728331769831,0.5698347039870214,-0.4044421794690691,0.17285566608574038,0.04202290334826489,0.4239990020372215,0.3045744345981973,-0.43103964923293037,-0.0857406289945852,,,
S3,PCA loadings,8,,,,,institutional_journal_output,Institutional journal output,0.02129149617933042,0.15041137689760137,0.19153390976872553,-0.2036362351630064,0.9331344098496003,-0.08604943235340906,-0.0017968075184429874,-0.07581073976472469,0.12196436607843898,,,
S3,PCA loadings,9,,,,,redundant_output,Redundant output,-0.3966179400055216,0.4179484199311732,0.24444471878980997,-0.08990898998331726,-0.2228575112555035,-0.22621463075496362,-0.4667250801976204,-0.45241090894797553,0.2771822873265032,,,
