supplementary_table,section,section_row,Item,"Institutions, n",Parameter,Value,Definition,Number of profiles (k),Total within-cluster sum of squares,Average silhouette width,Exploratory profile,Institutions (%),"Countries or territories, n",Mean IRIS Overall score,Median IRIS Overall score,Mean scientific output,Median scientific output,Very low (%),Low (%),Medium (%),Significant (%),Multi-affiliation,Retracted output,Self-citation,Discontinued journals output,Hyperauthored output,Leadership impact gap,Hyperprolific authors,Institutional journal output,Redundant output,Indicator variable,Mean standardized value,Indicator,IRIS structural risk category,Within-profile (%),1st percentile,99th percentile,"Profile institutions, n",Published mean IRIS Overall score,Mean original indicator value,AHP weight,Mean weighted indicator contribution,Contribution to published mean Overall (%),Metric,title,description,notes
S4,Inclusion summary,1,Institutions in cleaned dataset,5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Inclusion summary,2,Institutions with complete values for all nine indicators,5470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Inclusion summary,3,Institutions excluded because at least one indicator was missing,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,1,,,Analytical sample,5470,Institutions with complete values for all nine indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Clustering parameters,2,,,Winsorization,1st and 99th percentiles,Applied separately to each indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,3,,,Standardization,z score,Applied after winsorization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,4,,,Random seed,2026,Used for k-means and silhouette sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,5,,,Candidate k values,2–8,Evaluated using total within-cluster sum of squares and silhouette width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,6,,,Silhouette sample,3000,Institutions sampled for diagnostic silhouette calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,7,,,Diagnostic nstart,50,Random initializations for k = 2–8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,8,,,Diagnostic maximum iterations,200,Maximum iterations for candidate k = 2–8 models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,9,,,Final k,5,Retained for substantive interpretability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,10,,,Final nstart,100,Random initializations for the final k = 5 solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Clustering parameters,11,,,Final maximum iterations,500,Maximum iterations for the final k = 5 model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,K diagnostics,1,,,,,,2,42677.8243333963,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,K diagnostics,2,,,,,,3,37784.1530774788,0.202973933761657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,K diagnostics,3,,,,,,4,33619.8858255343,0.211578351454813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,K diagnostics,4,,,,,,5,30136.0488161133,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,K diagnostics,5,,,,,,6,27580.6870281651,0.214963509340885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,K diagnostics,6,,,,,,7,25642.7253133078,0.222019878677324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,K diagnostics,7,,,,,,8,23921.294708851,0.205050307268846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Profile summary,1,,3238,,,,,,,Profile 1,59.1956124314442,124,-0.127446880790611,-0.198,4663.15904879555,1770,38.3878937615812,34.8980852378011,26.4978381717109,0.216182828906733,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Profile summary,2,,1243,,,,,,,Profile 2,22.7239488117002,122,0.0543419147224457,-0.026,10370.1995172969,3954,9.73451327433628,44.1673370876911,44.5695897023331,1.52855993563958,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Profile summary,3,,162,,,,,,,Profile 3,2.96160877513711,45,0.636858024691358,0.4775,7890.87037037037,3967.5,0,8.02469135802469,77.1604938271605,14.8148148148148,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Profile summary,4,,601,,,,,,,Profile 4,10.9872029250457,55,0.749297836938436,0.632,2052.83860232945,1155,0.665557404326123,6.15640599001664,69.2179700499168,23.9600665557404,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Profile summary,5,,226,,,,,,,Profile 5,4.13162705667276,57,2.2563982300885,1.6775,1949.6814159292,1150,0,0,24.3362831858407,75.6637168141593,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Profile centroids z,1,,,,,,,,,Profile 1,,,,,,,,,,,0.01,-0.18,-0.2,-0.19,-0.39,-0.32,-0.19,-0.16,-0.23,,,,,,,,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Profile centroids z,2,,,,,,,,,Profile 2,,,,,,,,,,,0.12,-0.24,-0.34,-0.4,1.37,1,0.45,-0.13,-0.12,,,,,,,,,,,,,,,,,
S4,Profile centroids z,3,,,,,,,,,Profile 3,,,,,,,,,,,-0.09,-0.07,0.38,-0.12,0.06,0.26,0.05,5.16,-0.09,,,,,,,,,,,,,,,,,
S4,Profile centroids z,4,,,,,,,,,Profile 4,,,,,,,,,,,-0.35,-0.01,1.73,1.64,-0.55,-0.39,-0.07,-0.2,1.53,,,,,,,,,,,,,,,,,
