supplementary_table,section,section_row,Item,"Countries or territories, n",n,IRIS code,World Bank country or economy,"Institutions, n",Matched to World Bank,World Bank region,World Bank income group,R&D expenditure (% GDP),R&D year,Researchers per million,Researchers year,≥10-institution subset,Both indicators available,Weighted regression sample,Indicator year,"IRIS-matched countries with R&D value, n","IRIS-matched countries with researcher value, n",Mean IRIS Overall score,Significant (%),Country or territory code,Median IRIS Overall score,SD IRIS Overall score,Very low (%),Low (%),Medium (%),Medium or significant (%),Mean scientific output,Median scientific output,Mean multi-affiliation,Mean retracted output,Mean self-citation,Mean discontinued journals output,Mean hyperauthored output,Mean leadership impact gap,Mean hyperprolific authors,Mean institutional journal output,Mean redundant output,title,description,notes
S5,IRIS-WB matching,1,IRIS countries,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S5. Matching of SCImago IRIS countries with World Bank metadata and contextual-data coverage.,"Matching between IRIS country or territory codes and World Bank metadata, availability and years of national research-capacity indicators, coverage of the ≥10-institution analytical subset, complete-case regression inclusion, and geographical map matching.","1. R&D expenditure is World Bank research and development expenditure as a percentage of GDP. | 2. Researcher density is World Bank researchers in R&D per million people. | 3. For each contextual indicator, the most recent non-missing value from 2015 onward was used."
S5,IRIS-WB matching,2,IRIS countries matched with World Bank metadata,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,IRIS-WB matching,3,IRIS countries with R&D expenditure data,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,IRIS-WB matching,4,IRIS countries with researchers per million data,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,IRIS-WB matching,5,IRIS countries with both R&D and researchers data,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Country analysis coverage,1,Countries in the ≥10-institution analytical subset,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S5. Matching of SCImago IRIS countries with World Bank metadata and contextual-data coverage.,"Matching between IRIS country or territory codes and World Bank metadata, availability and years of national research-capacity indicators, coverage of the ≥10-institution analytical subset, complete-case regression inclusion, and geographical map matching.","1. R&D expenditure is World Bank research and development expenditure as a percentage of GDP. | 2. Researcher density is World Bank researchers in R&D per million people. | 3. For each contextual indicator, the most recent non-missing value from 2015 onward was used."
S5,Country analysis coverage,2,Institutions represented in that subset,,5213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Country analysis coverage,3,Countries with World Bank income group,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Country analysis coverage,4,Countries with R&D expenditure,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Country analysis coverage,5,Countries with researchers per million,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Country analysis coverage,6,Countries with both R&D expenditure and researcher density,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Country analysis coverage,7,Countries in the complete-case weighted regression,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,1,,,,AFG,Afghanistan,1,true,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S5. Matching of SCImago IRIS countries with World Bank metadata and contextual-data coverage.,"Matching between IRIS country or territory codes and World Bank metadata, availability and years of national research-capacity indicators, coverage of the ≥10-institution analytical subset, complete-case regression inclusion, and geographical map matching.","1. R&D expenditure is World Bank research and development expenditure as a percentage of GDP. | 2. Researcher density is World Bank researchers in R&D per million people. | 3. For each contextual indicator, the most recent non-missing value from 2015 onward was used."
S5,Contextual data by country,2,,,,ALB,Albania,5,true,Europe & Central Asia,Upper middle income,0.19997,2022,428.69994,2022,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,3,,,,ARE,United Arab Emirates,26,true,"Middle East, North Africa, Afghanistan & Pakistan",High income,1.49469,2021,2606.78477,2021,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,4,,,,ARG,Argentina,33,true,Latin America & Caribbean,Upper middle income,0.60111,2023,1312.75278,2023,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,5,,,,ARM,Armenia,3,true,Europe & Central Asia,Upper middle income,0.2861,2024,942.22095,2024,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,6,,,,AUS,Australia,41,true,East Asia & Pacific,High income,1.85783,2021,,,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,7,,,,AUT,Austria,23,true,Europe & Central Asia,High income,3.25517,2023,6633.64894,2023,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,8,,,,AZE,Azerbaijan,10,true,Europe & Central Asia,Upper middle income,0.20778,2024,1662.52798,2024,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
