supplementary_table,section,section_row,Predictor,Outcome,n,Spearman rho,95% CI low,95% CI high,Unadjusted P value,Holm-adjusted P value,Predictor 1,Predictor 2,Pearson r,Term,Estimate,Model-based SE,t statistic,P value,Model statistic,Value,Primary estimate,Minimum leave-one-country-out estimate,Maximum leave-one-country-out estimate,Country producing largest absolute change,Excluded country,R&D coefficient,Researcher-density coefficient,Country code,"Institutions, n",Cook's distance,Leverage,Standardized weighted residual,title,description,notes
S6,Spearman correlations,1,R&D expenditure,Mean IRIS Overall score,64,-0.732005494505494,-0.831,-0.583,6.31991091521953e-12,2.52796436608781e-11,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S6. Country-level associations and conventional weighted regression estimates.,"Prespecified Spearman correlations, Pearson correlations among the three continuous regression predictors, conventional weighted regression, leave-one-country-out estimates, and influence diagnostics.","Correlation CIs use 10,000 country-level bootstrap resamples. | The four prespecified Spearman-test P values were adjusted as one family using the Holm procedure. | The Pearson predictor matrix is a descriptive collinearity diagnostic for the 59 complete-case regression countries. | Only conventional model-based regression standard errors and confidence intervals are reported. | Countries were weighted by their number of represented IRIS institutions."
S6,Spearman correlations,2,Researcher density,Mean IRIS Overall score,62,-0.575231044295032,-0.718,-0.381,1.0067735762909e-06,2.01354715258181e-06,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Spearman correlations,3,R&D expenditure,Institutions in the significant category (%),64,-0.704523322223951,-0.803,-0.565,8.22940611610273e-11,2.46882183483082e-10,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Spearman correlations,4,Researcher density,Institutions in the significant category (%),62,-0.505924470818242,-0.691,-0.278,2.73158933424541e-05,2.73158933424541e-05,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,1,,,,,,,,,"R&D expenditure, standardized","R&D expenditure, standardized",1,,,,,,,,,,,,,,,,,,,,Supplementary Table S6. Country-level associations and conventional weighted regression estimates.,"Prespecified Spearman correlations, Pearson correlations among the three continuous regression predictors, conventional weighted regression, leave-one-country-out estimates, and influence diagnostics.","Correlation CIs use 10,000 country-level bootstrap resamples. | The four prespecified Spearman-test P values were adjusted as one family using the Holm procedure. | The Pearson predictor matrix is a descriptive collinearity diagnostic for the 59 complete-case regression countries. | Only conventional model-based regression standard errors and confidence intervals are reported. | Countries were weighted by their number of represented IRIS institutions."
S6,Predictor Pearson correlations,2,,,,,,,,,"R&D expenditure, standardized","Log researcher density, standardized",0.743298556078869,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,3,,,,,,,,,"R&D expenditure, standardized","Log number of institutions, standardized",0.203175259863054,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,4,,,,,,,,,"Log researcher density, standardized","R&D expenditure, standardized",0.743298556078869,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,5,,,,,,,,,"Log researcher density, standardized","Log researcher density, standardized",1,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,6,,,,,,,,,"Log researcher density, standardized","Log number of institutions, standardized",-0.00439943360955663,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,7,,,,,,,,,"Log number of institutions, standardized","R&D expenditure, standardized",0.203175259863054,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,8,,,,,,,,,"Log number of institutions, standardized","Log researcher density, standardized",-0.00439943360955663,,,,,,,,,,,,,,,,,,,,,,
S6,Predictor Pearson correlations,9,,,,,,,,,"Log number of institutions, standardized","Log number of institutions, standardized",1,,,,,,,,,,,,,,,,,,,,,,
