supplementary_table,section,section_row,Variable,Definition,Source,Analytical level,Used in,Transformation or coding,title,description,notes
S8,Variable dictionary,1,id,Institution identifier extracted from SCImago IRIS,SCImago IRIS,Institution,Data cleaning; institutional analyses; profile assignment,Raw,Supplementary Table S8. Variable dictionary and analytical definitions.,"Variable names, definitions, sources, analytical levels, uses in the study, and transformations or coding procedures for raw and derived variables used in the revised manuscript and supplementary files.","1. IRIS Overall score, IRIS structural risk category, and exploratory institutional profile are distinct constructs. | 2. The exploratory profiles were derived from the nine individual IRIS indicators; IRIS Overall score and structural risk category were not clustering inputs. | 3. World Bank contextual indicators use the most recent non-missing value from 2015 onward."
S8,Variable dictionary,2,institution,Name of the higher education institution,SCImago IRIS,Institution,Descriptive analyses; institutional profile assignment,Whitespace cleaned; raw text,,,
S8,Variable dictionary,3,country,"Country or territory code used by SCImago IRIS, harmonized where needed for World Bank and map matching",SCImago IRIS,Institution/Country,All analyses; country aggregation; World Bank linkage,Raw; used as ISO3-style join key,,,
S8,Variable dictionary,4,sir_rank,SCImago Institutions Ranking position,SCImago IRIS,Institution,Descriptive analyses; multilevel model,Raw; log1p-transformed and standardized in multilevel model,,,
S8,Variable dictionary,5,overall,Institution-level IRIS Overall score,SCImago IRIS,Institution,Descriptive analyses; country-level summaries; weighted country regression outcome; multilevel model outcome; profile characterization,Raw,,,
S8,Variable dictionary,6,risk,IRIS structural risk category,SCImago IRIS,Institution,Descriptive analyses; profile characterization,"Ordered categorical: very low, low, medium, significant",,,
S8,Variable dictionary,7,output,Institutional scientific output,SCImago IRIS,Institution,Descriptive analyses; multilevel model,Raw; log1p-transformed and standardized in multilevel model,,,
S8,Variable dictionary,8,multi_affiliation,IRIS indicator capturing multi-affiliation patterns,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,9,retracted_output,IRIS indicator capturing output associated with retracted publications,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,10,self_citation,IRIS indicator capturing institutional self-citation patterns,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,11,discontinued_journals_output,IRIS indicator capturing output in discontinued journals,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,12,hyperauthored_output,IRIS indicator capturing output in hyperauthored publications,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,13,leadership_impact_gap,IRIS indicator capturing gaps between institutional leadership and impact patterns,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,14,hyperprolific_authors,IRIS indicator capturing hyperprolific author patterns linked to the institution,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,15,institutional_journal_output,IRIS indicator capturing output in institutional journals,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,16,redundant_output,IRIS indicator capturing redundant or potentially overlapping output patterns,SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Winsorized at p1/p99 and standardized as z-score for PCA/clustering,,,
S8,Variable dictionary,17,profile,Exploratory institutional profile assigned by k-means clustering,Derived from analysis,Institution,Profile characterization; distribution across World Bank income groups,Categorical: Profile 1 to Profile 5; ordered after clustering by mean IRIS Overall score,,,
S8,Variable dictionary,18,cluster_raw,Original numerical k-means cluster label before ordering profiles by mean Overall score,Derived from analysis,Institution,Internal clustering output; profile assignment,Raw k-means cluster ID,,,
S8,Variable dictionary,19,n_institutions,Number of institutions represented within each country,Derived from SCImago IRIS,Country,Country-level summaries; map inclusion; weighted country-level regression,Raw count; log1p-transformed and standardized in weighted regression,,,
S8,Variable dictionary,20,mean_overall,Mean institution-level IRIS Overall score within each country,Derived from SCImago IRIS,Country,Country-level analysis; maps; correlations; weighted regression,Raw country-level mean,,,
S8,Variable dictionary,21,median_overall,Median institution-level IRIS Overall score within each country,Derived from SCImago IRIS,Country,Country-level descriptive summaries,Raw country-level median,,,
S8,Variable dictionary,22,pct_significant,Percentage of represented institutions in the IRIS significant structural risk category within each country,Derived from SCImago IRIS,Country,Country-level analysis; maps; correlations,Raw percentage; country-level summaries restricted to countries with at least 10 institutions in main analyses,,,
S8,Variable dictionary,23,income_group_wb,World Bank income group classification,World Bank,Country,Country-level contextual analysis; profile distribution by income group; regression models,"Categorical: low income, lower middle income, upper middle income, high income",,,
S8,Variable dictionary,24,region_wb,World Bank region classification,World Bank,Country,Data coverage and contextual description,Categorical,,,
S8,Variable dictionary,25,rd_gdp,Research and development expenditure as percentage of GDP,World Bank World Development Indicators,Country,Correlations; weighted country-level regression; multilevel model,Most recent non-missing value from 2015 onward; z-score in models,,,
S8,Variable dictionary,26,rd_gdp_year,Year corresponding to the most recent non-missing R&D expenditure value,World Bank World Development Indicators,Country,Data coverage and reproducibility,Raw year,,,
S8,Variable dictionary,27,researchers_pm,Researchers in R&D per million people,World Bank World Development Indicators,Country,Correlations; weighted country-level regression; multilevel model,Most recent non-missing value from 2015 onward; log1p-transformed and standardized in models,,,
S8,Variable dictionary,28,researchers_pm_year,Year corresponding to the most recent non-missing researchers per million value,World Bank World Development Indicators,Country,Data coverage and reproducibility,Raw year,,,
S8,Variable dictionary,29,multi_affiliation_w,Winsorized multi-affiliation value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,30,retracted_output_w,Winsorized retracted output value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,31,self_citation_w,Winsorized self-citation value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,32,discontinued_journals_output_w,Winsorized discontinued journals output value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,33,hyperauthored_output_w,Winsorized hyperauthored output value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,34,leadership_impact_gap_w,Winsorized leadership impact gap value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,35,hyperprolific_authors_w,Winsorized hyperprolific authors value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,36,institutional_journal_output_w,Winsorized institutional journal output value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,37,redundant_output_w,Winsorized redundant output value,Derived from SCImago IRIS,Institution,PCA; k-means clustering; profile characterization,Capped at the indicator-specific 1st and 99th percentiles; thresholds are reported in Supplementary Table S4,,,
S8,Variable dictionary,38,rd_gdp_z,Standardized R&D expenditure as a percentage of GDP,Derived from World Bank World Development Indicators,Country,Weighted regression; multilevel model,z score,,,
S8,Variable dictionary,39,researchers_pm_log_z,Standardized log-transformed researchers in R&D per million people,Derived from World Bank World Development Indicators,Country,Weighted regression; multilevel model,"log(1 + researchers per million), then z score",,,
S8,Variable dictionary,40,n_institutions_log_z,Standardized log-transformed number of IRIS institutions represented within a country,Derived from SCImago IRIS,Country,Weighted country-level regression,"log(1 + number of institutions), then z score",,,
S8,Variable dictionary,41,output_log_z,Standardized log-transformed institutional scientific output,Derived from SCImago IRIS,Institution,Multilevel model,"log(1 + scientific output), then z score",,,
S8,Variable dictionary,42,sir_rank_log_z,Standardized log-transformed SIR Rank,Derived from SCImago IRIS,Institution,Multilevel model,"log(1 + SIR Rank), then z score",,,
S8,Variable dictionary,43,profile_mean_overall,Mean IRIS Overall score of the exploratory profile to which the institution was assigned,Derived from analysis,Profile/Institution,Ordering and labeling of exploratory profiles; Supplementary Data S2,Profile-level mean repeated for all institutions assigned to the profile,,,
