supplementary_table,section,section_row,metric,specification,n,value,ci_low,ci_high,p_value,title,description,notes
S9,Panel A - Composite agreement,1,Institutions with complete values for all nine indicators,Equal-weight composite,5470,5470,,,,Supplementary Table S9. Sensitivity of IRIS Overall-based findings to an alternative equal-weight indicator specification.,"The nine original standardized IRIS indicators were combined using equal weights (1/9 each) as a transparent sensitivity specification. PCA, k-means profiles, and source-supplied structural-risk categories were not recalculated because they do not depend on this alternative composite.","Equal weighting is not proposed as a superior weighting scheme and is used only to assess dependence on the published AHP construction. The alternative composite was calculable for 5,470 institutions with complete values for all nine indicators. Country correlations use countries represented by at least 10 institutions. Weighted regression uses the same 59 complete-case countries as the primary analysis. Multilevel models use maximum likelihood and the same covariate specification as the primary model. P values in the weighting-sensitivity panels are descriptive, unadjusted sensitivity-analysis values."
S9,Panel A - Composite agreement,2,Spearman correlation with published AHP-weighted Overall,Equal-weight composite,5470,0.8662976739,,,,,,
S9,Panel A - Composite agreement,3,Pearson correlation with published AHP-weighted Overall,Equal-weight composite,5470,0.8181555803,,,,,,
S9,Panel A - Composite agreement,4,Maximum equal-weight composite,Universidad Tecnologica Centroamericana (HND),1,14.1374444444,,,,,,
S9,Panel A - Composite agreement,5,Published Overall for the same maximum institution,Universidad Tecnologica Centroamericana (HND),1,37.599,,,,,,
S9,Panel B - Country-level Spearman associations,1,R&D expenditure vs country mean outcome,Published AHP-weighted Overall,64,-0.7320054945,,,6.3199109152e-12,Supplementary Table S9. Sensitivity of IRIS Overall-based findings to an alternative equal-weight indicator specification.,"The nine original standardized IRIS indicators were combined using equal weights (1/9 each) as a transparent sensitivity specification. PCA, k-means profiles, and source-supplied structural-risk categories were not recalculated because they do not depend on this alternative composite.","Equal weighting is not proposed as a superior weighting scheme and is used only to assess dependence on the published AHP construction. The alternative composite was calculable for 5,470 institutions with complete values for all nine indicators. Country correlations use countries represented by at least 10 institutions. Weighted regression uses the same 59 complete-case countries as the primary analysis. Multilevel models use maximum likelihood and the same covariate specification as the primary model. P values in the weighting-sensitivity panels are descriptive, unadjusted sensitivity-analysis values."
S9,Panel B - Country-level Spearman associations,2,R&D expenditure vs country mean outcome,Equal-weight composite,64,-0.609981685,,,8.7692012176e-08,,,
S9,Panel B - Country-level Spearman associations,3,Researcher density vs country mean outcome,Published AHP-weighted Overall,62,-0.5752310443,,,1.0067735763e-06,,,
S9,Panel B - Country-level Spearman associations,4,Researcher density vs country mean outcome,Equal-weight composite,62,-0.4022814837,,,0.0011902043,,,
S9,Panel C - Weighted country regression,1,"R&D expenditure, standardized",Published AHP-weighted Overall,59,-0.1192401004,-0.2488470406,0.0103668397,0.0705818729,Supplementary Table S9. Sensitivity of IRIS Overall-based findings to an alternative equal-weight indicator specification.,"The nine original standardized IRIS indicators were combined using equal weights (1/9 each) as a transparent sensitivity specification. PCA, k-means profiles, and source-supplied structural-risk categories were not recalculated because they do not depend on this alternative composite.","Equal weighting is not proposed as a superior weighting scheme and is used only to assess dependence on the published AHP construction. The alternative composite was calculable for 5,470 institutions with complete values for all nine indicators. Country correlations use countries represented by at least 10 institutions. Weighted regression uses the same 59 complete-case countries as the primary analysis. Multilevel models use maximum likelihood and the same covariate specification as the primary model. P values in the weighting-sensitivity panels are descriptive, unadjusted sensitivity-analysis values."
S9,Panel C - Weighted country regression,2,"R&D expenditure, standardized",Equal-weight composite,59,-0.1492331836,-0.2699741448,-0.0284922224,0.0163888471,,,
S9,Panel C - Weighted country regression,3,"Log researcher density, standardized",Published AHP-weighted Overall,59,-0.1757329534,-0.3444304141,-0.0070354927,0.0414884522,,,
S9,Panel C - Weighted country regression,4,"Log researcher density, standardized",Equal-weight composite,59,-0.099894464,-0.2570518935,0.0572629655,0.2078989385,,,
S9,Panel C - Weighted country regression,5,"Log number of represented institutions, standardized",Published AHP-weighted Overall,59,-0.0464378003,-0.1282929851,0.0354173845,0.260283116,,,
S9,Panel C - Weighted country regression,6,"Log number of represented institutions, standardized",Equal-weight composite,59,-0.0453786554,-0.1216343997,0.030877089,0.2379539683,,,
S9,Panel D - Multilevel model fit,1,Adjusted ICC,Published AHP-weighted Overall - primary,4891,0.8491570112,,,,Supplementary Table S9. Sensitivity of IRIS Overall-based findings to an alternative equal-weight indicator specification.,"The nine original standardized IRIS indicators were combined using equal weights (1/9 each) as a transparent sensitivity specification. PCA, k-means profiles, and source-supplied structural-risk categories were not recalculated because they do not depend on this alternative composite.","Equal weighting is not proposed as a superior weighting scheme and is used only to assess dependence on the published AHP construction. The alternative composite was calculable for 5,470 institutions with complete values for all nine indicators. Country correlations use countries represented by at least 10 institutions. Weighted regression uses the same 59 complete-case countries as the primary analysis. Multilevel models use maximum likelihood and the same covariate specification as the primary model. P values in the weighting-sensitivity panels are descriptive, unadjusted sensitivity-analysis values."
S9,Panel D - Multilevel model fit,2,Adjusted ICC,Published AHP-weighted Overall - excluding verified maximum,4890,0.1964005864,,,,,,
S9,Panel D - Multilevel model fit,3,Adjusted ICC,Equal-weight composite - primary,4887,0.651666497,,,,,,
S9,Panel D - Multilevel model fit,4,Adjusted ICC,Equal-weight composite - excluding verified maximum,4886,0.2861559298,,,,,,
S9,Panel D - Multilevel model fit,5,Marginal R2,Published AHP-weighted Overall - primary,4891,0.0948097122,,,,,,
S9,Panel D - Multilevel model fit,6,Conditional R2,Published AHP-weighted Overall - primary,4891,0.8634583916,,,,,,
S9,Panel D - Multilevel model fit,7,Marginal R2,Equal-weight composite - primary,4887,0.1285660473,,,,,,
S9,Panel D - Multilevel model fit,8,Conditional R2,Equal-weight composite - primary,4887,0.6964503586,,,,,,
S9,Panel D - Multilevel model fit,9,Marginal R2,Equal-weight composite - excluding verified maximum,4886,0.1406900175,,,,,,
